0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1781,1781,1781,1781,1781,357799,357799,357799,1781,1781,1781,1781,1781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1781,1781,1781,3971,357799,370485,237230,0,0,0,237230,370485,357799,3971,1781,1781,1781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1781,1781,4543,319438,329083,327661,306322,60184,0,0,0,60184,306322,327661,329083,319438,4543,1781,1781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1781,1781,1689,77605,293252,335572,369426,348655,157520,69990,60184,60184,60184,69990,157520,348655,369426,335572,293252,77605,1689,1781,1781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1781,1781,2213,122350,310908,329083,350010,347896,362835,157520,69990,69990,69990,69990,69990,157520,362835,347896,350010,329083,310908,122350,2213,1781,1781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1781,1781,5060,141018,293252,342369,412018,370485,358112,306322,157520,237230,237230,237230,237230,237230,157520,306322,358112,370485,412018,342369,293252,141018,5060,1781,1781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1781,1781,4543,122350,316285,357799,335572,350010,327661,358112,362835,146229,157520,157520,157520,157520,157520,146229,362835,358112,327661,350010,335572,357799,316285,122350,4543,1781,1781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1781,1781,2469,78471,293379,350390,321752,437368,360248,327661,358112,362835,306322,146229,146229,146229,146229,146229,306322,362835,358112,327661,360248,437368,321752,350390,293379,78471,2469,1781,1781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1781,1781,1970,58965,182399,293252,348121,335572,346213,369426,347896,358112,348655,362835,306322,306322,306322,306322,306322,362835,348655,358112,347896,369426,346213,335572,348121,293252,182399,58965,1970,1781,1781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1781,1787,23841,146603,293379,350390,327388,392804,346213,369426,327661,334476,358112,348655,362835,362835,362835,362835,362835,348655,358112,334476,327661,369426,346213,392804,327388,350390,293379,146603,23841,1787,1781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1781,1680,5060,78471,162558,319438,363225,321752,392804,346213,369426,327661,347896,358112,358112,348655,348655,348655,348655,348655,358112,358112,347896,327661,369426,346213,392804,321752,363225,319438,162558,78471,5060,1680,1781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1781,1781,1970,25829,141018,293379,310908,348121,321752,437368,346213,360248,370485,347896,334476,358112,358112,358112,358112,358112,358112,358112,334476,347896,370485,360248,346213,437368,321752,348121,310908,293379,141018,25829,1970,1781,1781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1781,1677,5254,77605,162558,316285,350390,327388,329083,437368,346213,360248,369426,327661,347896,334476,334476,334476,334476,334476,334476,334476,347896,327661,369426,360248,346213,437368,329083,327388,350390,316285,162558,77605,5254,1677,1781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1781,1781,1970,25829,122350,209108,319438,350390,327388,329083,392804,346213,350010,369426,370485,327661,347896,347896,347896,347896,347896,347896,347896,327661,370485,369426,350010,346213,392804,329083,327388,350390,319438,209108,122350,25829,1970,1781,1781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1781,1689,4543,60533,141018,246868,293252,363225,327388,329083,392804,412018,350010,360248,369426,370485,327661,327661,327661,327661,327661,327661,327661,370485,369426,360248,350010,412018,392804,329083,327388,363225,293252,246868,141018,60533,4543,1689,1781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1781,1781,1784,7539,78471,138755,293379,310908,363225,327388,329083,392804,437368,346213,350010,360248,369426,370485,370485,370485,370485,370485,370485,370485,369426,360248,350010,346213,437368,392804,329083,327388,363225,310908,293379,138755,78471,7539,1784,1781,1781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1781,1670,2189,25829,111875,162558,314807,310908,363225,327388,321752,335572,437368,412018,350010,360248,360248,369426,369426,369426,369426,369426,369426,369426,360248,360248,350010,412018,437368,335572,321752,327388,363225,310908,314807,162558,111875,25829,2189,1670,1781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1781,1773,4543,59963,122350,182399,316285,310908,363225,327388,321752,335572,392804,437368,346213,350010,350010,360248,360248,360248,360248,360248,360248,360248,350010,350010,346213,437368,392804,335572,321752,327388,363225,310908,316285,182399,122350,59963,4543,1773,1781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1781,1784,5768,60649,146603,209108,316285,310908,363225,348121,342369,329083,335572,437368,412018,346213,346213,350010,350010,350010,350010,350010,350010,350010,346213,346213,412018,437368,335572,329083,342369,348121,363225,310908,316285,209108,146603,60649,5768,1784,1781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1781,1664,1973,7539,64925,141018,209108,316285,310908,350390,357799,342369,321752,335572,392804,437368,412018,412018,346213,346213,346213,346213,346213,346213,346213,412018,412018,437368,392804,335572,321752,342369,357799,350390,310908,316285,209108,141018,64925,7539,1973,1664,1781,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1781,1689,2469,8331,77605,141018,209108,314807,293252,350390,357799,327388,321752,329083,335572,392804,437368,412018,412018,412018,412018,412018,412018,412018,412018,412018,437368,392804,335572,329083,321752,327388,357799,350390,293252,314807,209108,141018,77605,8331,2469,1689,1781,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1781,1773,3736,25829,78471,141018,209108,314807,293252,332022,363225,348121,342369,321752,329083,335572,392804,437368,437368,437368,437368,437368,437368,437368,437368,437368,392804,335572,329083,321752,342369,348121,363225,332022,293252,314807,209108,141018,78471,25829,3736,1773,1781,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1781,1801,4543,58094,78471,141018,182399,314807,319438,332022,363225,357799,327388,342369,321752,329083,335572,392804,392804,392804,392804,392804,392804,392804,392804,392804,335572,329083,321752,342369,327388,357799,363225,332022,319438,314807,182399,141018,78471,58094,4543,1801,1781,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1781,1781,1867,5060,58094,78471,141018,182399,293379,319438,310908,350390,357799,348121,327388,321752,321752,329083,335572,335572,335572,335572,335572,335572,335572,335572,335572,329083,321752,321752,327388,348121,357799,350390,310908,319438,293379,182399,141018,78471,58094,5060,1867,1781,1781,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1781,1754,1801,5254,58094,78471,141018,162558,246868,316285,293252,332022,363225,357799,348121,342369,342369,321752,329083,329083,329083,329083,329083,329083,329083,329083,329083,321752,342369,342369,348121,357799,363225,332022,293252,316285,246868,162558,141018,78471,58094,5254,1801,1754,1781,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1781,1658,1890,5254,58094,77605,146603,162558,246868,314807,293252,310908,350390,363225,348121,327388,327388,342369,321752,321752,321752,321752,321752,321752,321752,321752,321752,342369,327388,327388,348121,363225,350390,310908,293252,314807,246868,162558,146603,77605,58094,5254,1890,1658,1781,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1781,1653,1893,5254,58094,77605,146603,138755,209108,314807,319438,310908,332022,363225,357799,348121,348121,327388,342369,342369,342369,342369,342369,342369,342369,342369,342369,327388,348121,348121,357799,363225,332022,310908,319438,314807,209108,138755,146603,77605,58094,5254,1893,1653,1781,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1781,1610,1966,5254,25829,64925,122350,127248,182399,293379,316285,293252,310908,350390,363225,357799,357799,348121,327388,327388,327388,327388,327388,327388,327388,327388,327388,348121,357799,357799,363225,350390,310908,293252,316285,293379,182399,127248,122350,64925,25829,5254,1966,1610,1781,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1781,1677,1893,5060,25829,60649,111875,127248,182399,246868,314807,319438,293252,332022,350390,363225,363225,357799,348121,348121,348121,348121,348121,348121,348121,348121,348121,357799,363225,363225,350390,332022,293252,319438,314807,246868,182399,127248,111875,60649,25829,5060,1893,1677,1781,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1781,1677,1893,4543,23841,60649,87161,141018,162558,209108,293379,316285,293252,310908,332022,350390,350390,363225,357799,357799,357799,357799,357799,357799,357799,357799,357799,363225,350390,350390,332022,310908,293252,316285,293379,209108,162558,141018,87161,60649,23841,4543,1893,1677,1781,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1781,1610,1801,3971,8331,60533,78471,146603,138755,182399,246868,314807,319438,293252,310908,332022,350390,350390,363225,363225,363225,363225,363225,363225,363225,363225,363225,350390,350390,332022,310908,293252,319438,314807,246868,182399,138755,146603,78471,60533,8331,3971,1801,1610,1781,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1781,1664,1827,3755,7539,59963,77605,122350,127248,162558,209108,293379,316285,319438,293252,310908,332022,332022,350390,350390,350390,350390,350390,350390,350390,350390,350390,332022,332022,310908,293252,319438,316285,293379,209108,162558,127248,122350,77605,59963,7539,3755,1827,1664,1781,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1781,1670,1867,3736,6520,58965,64925,111875,141018,138755,182399,246868,314807,316285,319438,293252,310908,310908,332022,332022,332022,332022,332022,332022,332022,332022,332022,310908,310908,293252,319438,316285,314807,246868,182399,138755,141018,111875,64925,58965,6520,3736,1867,1670,1781,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1781,1658,1827,2469,5768,25829,60649,87161,146603,127248,162558,209108,293379,314807,316285,319438,293252,293252,310908,310908,310908,310908,310908,310908,310908,310908,310908,293252,293252,319438,316285,314807,293379,209108,162558,127248,146603,87161,60649,25829,5768,2469,1827,1658,1781,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1781,1680,1787,2189,5472,23841,60533,77605,111875,141018,138755,182399,246868,293379,314807,316285,319438,319438,293252,293252,293252,293252,293252,293252,293252,293252,293252,319438,319438,316285,314807,293379,246868,182399,138755,141018,111875,77605,60533,23841,5472,2189,1787,1680,1781,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1781,1757,1787,1973,5060,7539,59963,64925,87161,146603,127248,162558,182399,246868,293379,314807,316285,316285,319438,319438,319438,319438,319438,319438,319438,319438,319438,316285,316285,314807,293379,246868,182399,162558,127248,146603,87161,64925,59963,7539,5060,1973,1787,1757,1781,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1781,1781,1773,1966,3971,6558,58094,60649,78471,122350,141018,138755,162558,209108,246868,293379,314807,314807,316285,316285,316285,316285,316285,316285,316285,316285,316285,314807,314807,293379,246868,209108,162558,138755,141018,122350,78471,60649,58094,6558,3971,1966,1773,1781,1781,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1781,1842,1890,3736,5768,23841,60533,77605,111875,146603,127248,138755,182399,209108,246868,246868,293379,314807,314807,314807,314807,314807,314807,314807,314807,314807,293379,246868,246868,209108,182399,138755,127248,146603,111875,77605,60533,23841,5768,3736,1890,1842,1781,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1781,1542,1784,2469,5254,8331,58965,64925,87161,122350,141018,127248,162558,182399,209108,209108,246868,293379,293379,293379,293379,293379,293379,293379,293379,293379,246868,209108,209108,182399,162558,127248,141018,122350,87161,64925,58965,8331,5254,2469,1784,1542,1781,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1781,1610,1827,2009,5060,6558,58094,60533,77605,87161,146603,141018,138755,162558,182399,182399,209108,246868,246868,246868,246868,246868,246868,246868,246868,246868,209108,182399,182399,162558,138755,141018,146603,87161,77605,60533,58094,6558,5060,2009,1827,1610,1781,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1781,1653,1858,1973,3971,6520,25829,59963,64925,78471,122350,146603,127248,138755,162558,162558,182399,209108,209108,209108,209108,209108,209108,209108,209108,209108,182399,162558,162558,138755,127248,146603,122350,78471,64925,59963,25829,6520,3971,1973,1858,1653,1781,0,0,0,0,0,0,0,0,0,0,0,0,0,0
