time (yyyyDDD),wavelength,irradiance,uncertainty (W/m^2/nm)
2002041,55.5,2.58E-05,0.0881299
2002041,56.5,7.73E-06,0.092761777
2002041,57.5,7.66E-06,0.085403092
2002041,58.5,6.27E-05,0.093690611
2002041,59.5,9.09E-06,0.082778379
2002041,60.5,2.94E-05,0.122180715
2002041,61.5,2.36E-05,0.1103089
2002041,62.5,4.53E-05,0.114087887
2002041,63.5,3.38E-05,0.12488687
2002041,64.5,5.23E-06,0.092723154
2002041,65.5,4.75E-06,0.094936736
2002041,66.5,5.27E-06,0.092338517
2002041,67.5,4.36E-06,0.098935872
2002041,68.5,7.79E-06,0.078228667
2002041,69.5,6.91E-06,0.075518705
2002041,70.5,1.28E-05,0.078320518
2002041,71.5,5.40E-06,0.082351558
2002041,72.5,6.72E-06,0.080649197
2002041,73.5,3.83E-06,0.095310189
2002041,74.5,5.21E-06,0.075836778
2002041,75.5,6.77E-06,0.074914403
2002041,76.5,1.67E-05,0.069812693
2002041,77.5,1.65E-05,0.074958839
2002041,78.5,2.24E-05,0.079990909
2002041,79.5,1.68E-05,0.084992498
2002041,80.5,1.45E-05,0.079036601
2002041,81.5,1.53E-05,0.077424966
2002041,82.5,1.91E-05,0.075171195
2002041,83.5,4.29E-05,0.089539997
2002041,84.5,2.77E-05,0.076470375
2002041,85.5,3.50E-05,0.0835585
2002041,86.5,4.06E-05,0.07962779
2002041,87.5,5.02E-05,0.082589187
2002041,88.5,6.00E-05,0.082563803
2002041,89.5,7.08E-05,0.082451738
2002041,90.5,8.42E-05,0.082769834
2002041,91.5,7.37E-05,0.089826427
2002041,92.5,2.24E-05,0.07597442
2002041,93.5,2.36E-05,0.066327669
2002041,94.5,1.68E-05,0.082513943
2002041,95.5,1.42E-05,0.106320962
2002041,96.5,9.98E-06,0.072670288
2002041,97.5,1.80E-04,0.101947792
2002041,98.5,2.01E-05,0.083815657
2002041,99.5,3.16E-05,0.091593362
2002041,100.5,1.73E-05,0.080161802
2002041,101.5,1.81E-05,0.069862187
2002041,102.5,1.67E-04,0.101901583
2002041,103.5,1.49E-04,0.08110711
2002041,104.5,2.67E-05,0.072425961
2002041,105.5,2.07E-05,0.07078746
2002041,106.5,2.16E-05,0.071047291
2002041,107.5,2.44E-05,0.071936883
2002041,108.5,4.05E-05,0.074594364
2002041,109.5,2.80E-05,0.072105646
2002041,110.5,3.16E-05,0.076796807
2002041,111.5,3.00E-05,0.073190995
2002041,112.5,3.14E-05,0.071125314
2002041,113.5,2.15E-05,0.08742629
2002041,114.5,2.47E-05,0.300000012
2002041,115.5,2.79E-05,0.065916374
2002041,116.5,2.96E-05,0.042143721
2002041,117.5,1.12E-04,0.045544542
2002041,118.5,4.13E-05,0.034285512
2002041,119.5,7.57E-05,0.036621686
2002041,120.5,2.56E-04,0.058862157
2002041,121.5,0.011076584,0.106025375
2002041,122.5,9.04E-05,0.034305438
2002041,123.5,5.87E-05,0.041196026
2002041,124.5,4.32E-05,0.038664304
2002041,125.5,3.82E-05,0.034763612
2002041,126.5,5.66E-05,0.048827633
2002041,127.5,2.70E-05,0.036143877
2002041,128.5,2.10E-05,0.037554044
2002041,129.5,3.19E-05,0.125492901
2002041,130.5,1.79E-04,0.100996442
2002041,131.5,2.85E-05,0.128241897
2002041,132.5,2.37E-05,0.165022269
2002041,133.5,2.85E-04,0.119873472
2002041,134.5,2.14E-05,0.162284255
2002041,135.5,4.76E-05,0.134582803
2002041,136.5,3.37E-05,0.130580887
2002041,137.5,3.46E-05,0.136861324
2002041,138.5,3.28E-05,0.146617174
2002041,139.5,1.02E-04,0.126844004
2002041,140.5,8.51E-05,0.125610709
2002041,141.5,4.42E-05,0.138241976
2002041,142.5,4.81E-05,0.130228758
2002041,143.5,5.27E-05,0.1309039
2002041,144.5,5.29E-05,0.122335836
2002041,145.5,5.67E-05,0.120469391
2002041,146.5,7.02E-05,0.118847303
2002041,147.5,8.69E-05,0.112152196
2002041,148.5,8.64E-05,0.108826429
2002041,149.5,7.63E-05,0.11821799
2002041,150.5,8.75E-05,0.117403768
2002041,151.5,9.39E-05,0.107398987
2002041,152.5,1.21E-04,0.107084714
2002041,153.5,1.34E-04,0.106687054
2002041,154.5,2.30E-04,0.106863633
2002041,155.5,2.09E-04,0.103328414
2002041,156.5,1.96E-04,0.10172084
2002041,157.5,1.74E-04,0.104016125
2002041,158.5,1.67E-04,0.105962381
2002041,159.5,1.63E-04,0.105384439
2002041,160.5,1.85E-04,0.106449015
2002041,161.5,2.15E-04,0.105258934
2002041,162.5,2.55E-04,0.101331845
2002041,163.5,2.69E-04,0.10191083
2002041,164.5,3.24E-04,0.101534061
2002041,165.5,4.90E-04,0.099025175
2002041,166.5,3.35E-04,0.100422919
2002041,167.5,4.19E-04,0.098952383
2002041,168.5,4.24E-04,0.097791627
2002041,169.5,5.66E-04,0.093714841
2002041,170.5,6.46E-04,0.092982247
2002041,171.5,6.54E-04,0.093906522
2002041,172.5,7.21E-04,0.093718305
2002041,173.5,7.11E-04,0.094773166
2002041,174.5,8.73E-04,0.092240907
2002041,175.5,0.001077454,0.090730235
2002041,176.5,0.001163092,0.08897461
2002041,177.5,0.001429879,0.087450862
2002041,178.5,0.001625772,0.087025464
2002041,179.5,0.001631321,0.086494021
2002041,180.5,0.002154504,0.085808396
2002041,181.5,0.002589803,0.086348541
2002041,182.5,0.002408077,0.084998995
2002041,183.5,0.002561875,0.084838703
2002041,184.5,0.002253485,0.087011226
2002041,185.5,0.002530907,0.085853972
2002041,186.5,0.002948175,0.084439151
2002041,187.5,0.003282059,0.083882637
2002041,188.5,0.003276015,0.0837778
2002041,189.5,0.002638652,0.088334277